PMY,Replicate,Halo,Halo_in
PMY2622,2.0,36.0902504,5.594
PMY2623,2.0,17.240825733333327,2.672333333333333
PMY2624,2.0,16.270935200000004,2.522
PMY2625,2.0,37.04293666666667,5.741666666666667
PMY2626,2.0,0.6602137333333333,0.10233333333333332
PMY2627,2.0,7.4386948,1.153
PMY2628,2.0,13.017178266666665,2.0176666666666665
PMY2629,2.0,34.05584586666667,5.278666666666667
PMY2630,2.0,6.756975733333334,1.0473333333333332
PMY2631,2.0,3.3935416000000003,0.526
PMY2632,2.0,32.793482799999985,5.082999999999999
PMY2633,2.0,38.5096004,5.969
PMY2634,2.0,22.62146013333334,3.506333333333334
PMY2635,2.0,19.273079733333333,2.9873333333333334
PMY2636,2.0,35.5354128,5.508
PMY2637,2.0,44.2063632,6.851999999999999
PMY2638,2.0,36.66014173333333,5.682333333333333
PMY2639,2.0,45.84937066666667,7.1066666666666665
PMY2640,2.0,39.885941733333325,6.182333333333333
PMY2641,2.0,3.6903152,0.572
PMY2642,2.0,24.006403600000002,3.7210000000000005
PMY2643,2.0,35.76121880000001,5.543
PMY2644,2.0,9.116110800000003,1.413
PMY2645,2.0,10.591376666666667,1.6416666666666666
PMY2646,2.0,53.49021559999999,8.291
PMY2647,2.0,41.0450792,6.361999999999999
PMY2648,2.0,30.926819866666673,4.793666666666667
PMY2651,2.0,48.93323546666667,7.584666666666667
PMY2652,2.0,12.535458799999999,1.9429999999999998
PMY2653,2.0,14.415024933333333,2.2343333333333333
PMY2654,2.0,5.913966666666666,0.9166666666666666
PMY2655,2.0,13.608574933333331,2.1093333333333333
PMY2656,2.0,16.677386000000002,2.5850000000000004
PMY2657,2.0,39.82357626666667,6.172666666666667
PMY2658,2.0,45.09883453333333,6.990333333333333
PMY2659,2.0,32.675203466666666,5.064666666666667
PMY2660,2.0,52.49881973333332,8.137333333333332
PMY2661,2.0,12.322555999999999,1.91
PMY2662,2.0,48.71818213333335,7.551333333333335
PMY2663,2.0,40.928950400000005,6.344
PMY2664,2.0,5.634397333333333,0.8733333333333334
PMY2665,2.0,41.78916373333333,6.477333333333334
PMY2666,2.0,39.1483088,6.0680000000000005
PMY2667,2.0,18.075232666666672,2.801666666666667
PMY2668,2.0,33.528965199999995,5.197
PMY2669,2.0,34.27950133333333,5.3133333333333335
PMY2670,2.0,46.06872506666668,7.140666666666667
PMY2671,2.0,43.81711666666668,6.791666666666667
PMY2672,2.0,23.2644696,3.6060000000000003
PMY2673,2.0,41.944002133333335,6.501333333333334
PMY2674,2.0,47.93323746666667,7.429666666666667
PMY2675,2.0,44.2966856,6.866
PMY2676,2.0,9.565572266666667,1.4826666666666668
PMY2677,2.0,4.718270133333333,0.7313333333333333
PMY2678,2.0,10.520409066666668,1.6306666666666667
PMY2679,2.0,47.371948266666664,7.342666666666667
PMY2680,2.0,31.625743199999995,4.902
PMY2681,2.0,17.823620266666662,2.7626666666666666
PMY2682,2.0,32.999934,5.115
PMY2683,2.0,4.888162266666667,0.7576666666666667
PMY2684,2.0,38.580568,5.98
PMY2685,2.0,11.395676133333335,1.7663333333333335
PMY2686,2.0,41.96980853333333,6.505333333333333
PMY2687,2.0,36.795625333333334,5.703333333333333
PMY2688,2.0,6.9161152,1.0719999999999998
PMY2689,2.0,20.04942226666667,3.107666666666667
PMY2690,2.0,43.61066546666668,6.759666666666668
PMY2691,2.0,15.28168986666667,2.368666666666667
PMY2692,2.0,20.146196266666667,3.122666666666667
PMY2693,2.0,7.511812933333332,1.1643333333333332
PMY2694,2.0,49.0128052,7.596999999999999
PMY2695,2.0,27.408547333333335,4.248333333333333
PMY2696,2.0,12.494598666666667,1.9366666666666668
PMY2697,2.0,10.701053866666669,1.6586666666666667
PMY2698,2.0,9.324712533333331,1.4453333333333334
PMY2699,2.0,38.273041733333336,5.932333333333332
PMY2700,2.0,13.0902964,2.0290000000000004
PMY2701,2.0,47.8128076,7.4110000000000005
PMY2702,2.0,43.80421346666668,6.789666666666668
PMY2703,2.0,45.255823466666655,7.014666666666667
PMY2704,2.0,17.692437733333332,2.742333333333333
