PMY,Replicate,Halo
PMY2698,2,1.1360000000000001
PMY2698,3,1.63
PMY2699,1,8.125
PMY2699,2,4.742999999999999
PMY2699,3,4.928999999999999
PMY2700,1,2.153
PMY2700,2,2.4200000000000004
PMY2700,3,1.514
PMY2701,1,7.811999999999999
PMY2701,2,6.164000000000001
PMY2701,3,8.257
PMY2702,1,8.484000000000002
PMY2702,2,6.394
PMY2702,3,5.4910000000000005
PMY2703,1,7.806000000000001
PMY2703,2,6.327999999999999
PMY2703,3,6.91
PMY2704,1,2.045
PMY2704,2,4.199999999999999
PMY2704,3,1.9819999999999998
PMY2705,1,2.5100000000000002
PMY2705,2,1.5049999999999997
PMY2705,3,2.024
PMY2706,1,3.0740000000000003
PMY2706,2,5.932
PMY2706,3,5.321000000000001
PMY2707,1,0.39199999999999996
PMY2707,2,0.8090000000000002
PMY2707,3,0.7390000000000001
PMY2708,1,4.003
PMY2708,2,4.236
PMY2708,3,
PMY2709,1,5.445
PMY2709,2,4.361000000000001
PMY2709,3,6.323
PMY2710,1,3.8179999999999996
PMY2710,2,4.951
PMY2710,3,4.342
PMY2711,1,0.6970000000000001
PMY2711,2,0.7410000000000001
PMY2711,3,0.694
PMY2712,1,1.425
PMY2712,2,1.45
PMY2712,3,1.099
PMY2713,1,0.586
PMY2713,2,0.49300000000000005
PMY2713,3,0.799
PMY2714,1,2.36
PMY2714,2,1.137
PMY2714,3,2.425
PMY2715,1,2.543
PMY2715,2,3.306
PMY2715,3,4.483
PMY2716,1,2.825
PMY2716,2,6.739
PMY2716,3,3.911
PMY2717,1,2.245
PMY2717,2,2.165
PMY2717,3,3.0919999999999996
PMY2718,1,3.5449999999999995
PMY2718,2,
PMY2718,3,3.8439999999999994
PMY2719,1,6.721
PMY2719,2,6.28
PMY2719,3,4.375000000000001
PMY2720,1,4.23
PMY2720,2,6.634
PMY2720,3,3.9349999999999996
PMY2721,1,3.068
PMY2721,2,2.41
PMY2721,3,2.8229999999999995
PMY2722,1,1.345
PMY2722,2,1.525
PMY2722,3,1.1660000000000001
PMY2723,1,6.654999999999999
PMY2723,2,3.765
PMY2723,3,7.491
PMY2724,1,7.975
PMY2724,2,4.317
PMY2724,3,7.719
PMY2725,1,1.4869999999999999
PMY2725,2,0.71
PMY2725,3,1.5790000000000002
PMY2726,1,2.502
PMY2726,2,1.8519999999999999
PMY2726,3,2.037
PMY2727,1,1.4509999999999998
PMY2727,2,1.8270000000000002
PMY2727,3,1.5930000000000002
PMY2728,1,4.177
PMY2728,2,6.0200000000000005
PMY2728,3,4.291
PMY2729,1,2.774
PMY2729,2,7.358
PMY2729,3,5.055
PMY2730,1,7.59
PMY2730,2,2.8449999999999998
PMY2730,3,7.233
