Strain,Day,Replicate,Stack,plate,passage,Area,Mean,Min,Max,issues
B560,12,1,1,p2_1,10,1.953,20200.505,9825,34259,
B313,12,1,1,p2_1,10,4.907,20736.903,15242,27877,
B887_cor,12,1,1,p2_1,10,3.754,20294.846,17562,39154,
C272,12,1,1,p2_1,10,1.445,21164.677,17427,32174,
C242,12,1,1,p2_1,10,2.522,21682.752,14890,27137,
C031_cor,12,1,1,p2_1,10,3.943,20891.854,17554,29031,
B316,12,1,1,p2_1,10,1.07,21202.726,18487,27562,
C029,12,1,1,p2_1,10,3.856,20351.372,9773,43928,
B350,12,1,1,p2_1,10,5.767,21030.308,17431,35824,
B908,12,1,2,p2_1,10,4.228,20982.934,16243,35218,
B356,12,1,2,p2_1,10,1.731,20136.603,17577,30543,
B886_cor,12,1,2,p2_1,10,2.31,20875.678,17535,32923,
B308,12,1,2,p2_1,10,1.943,20230.177,11916,40737,
B575,12,1,2,p2_1,10,8.032,20030.154,13880,62545,
C291,12,1,2,p2_1,10,4.513,20113.842,15182,37483,
431alpha,12,1,2,p2_1,10,2.035,20195.453,17035,34628,
C029_cor,12,1,2,p2_1,10,5.415,20538.913,5684,36055,cracked
B886,12,1,2,p2_1,10,1.972,20369.116,17525,28037,
B315,12,1,2,p2_1,10,1.737,20742.069,17908,31370,
C026,12,1,2,p2_1,10,1.736,21187.525,9948,50231,
B354,12,1,2,p2_1,10,3.272,20344.97,16405,34268,
XL280alpha,12,1,3,p2_1,10,3.685,20467.839,17400,30885,
C033,12,1,3,p2_1,10,2.01,20366.946,17848,30215,
B892,12,1,3,p2_1,10,2.262,19862.232,17094,28394,
C271,12,1,3,p2_1,10,2.699,20544.701,9575,36399,
B570,12,1,3,p2_1,10,0.594,21111.413,18308,25990,
C036,12,1,3,p2_1,10,7.615,20932.088,11324,40134,
B307,12,1,3,p2_1,10,5.365,20640.656,17740,40358,
B872,12,1,3,p2_1,10,4.161,20415.725,8146,40536,
B314,12,1,3,p2_1,10,2.059,20670.224,15558,27980,
C039,12,1,3,p2_1,10,8.708,20151.919,7118,37597,
B890,12,1,3,p2_1,10,4.473,20252.469,8847,43966,
B874_cor,12,1,3,p2_1,10,1.577,19584.091,15685,33006,
B317,12,1,4,p2_1,10,8.636,19724.263,11210,37882,
B311,12,1,4,p2_1,10,1.187,20094.8,10438,29776,
B382,12,1,4,p2_1,10,2.066,20523.901,18115,25761,
B930,12,1,4,p2_1,10,2.725,20431.366,17803,37137,
XL280a,12,1,4,p2_1,10,3.363,20458.312,17220,25575,
B906,12,1,4,p2_1,10,3.79,20337.052,17322,31157,
B896,12,1,4,p2_1,10,1.148,21160.781,7888,32047,cracked
B874,12,1,4,p2_1,10,0.466,22263.093,19024,41157,
B518,12,1,4,p2_1,10,1.868,21187.013,18111,27107,
B901,12,1,4,p2_1,10,6.077,20106.671,16125,29571,
B887,12,1,4,p2_1,10,5.488,20598.15,10280,41751,
B410,12,1,4,p2_1,10,1.045,21074.482,18301,35690,
B373,12,1,5,p2_1,10,1.452,20408.597,18031,29864,
C290,12,1,5,p2_1,10,2.122,20123.011,17944,31170,
B961,12,1,5,p2_1,10,4.059,20296.628,17309,33001,contaminated
B310,12,1,5,p2_1,10,1.947,20332.639,15725,40937,
B898,12,1,5,p2_1,10,2.165,20577.118,17764,30417,
B358,12,1,5,p2_1,10,8.622,19985.627,12080,39442,
B929,12,1,5,p2_1,10,0.966,20830.415,18362,31249,
C030,12,1,5,p2_1,10,2.672,20711.656,16526,36134,
B873,12,1,5,p2_1,10,3.477,20947.705,16770,28749,
B312,12,1,5,p2_1,10,4.193,20161.569,17253,40739,
B869,12,1,5,p2_1,10,4.288,19840.764,8903,49294,
B599,12,1,5,p2_1,10,6.12,20834.752,13597,34798,
KN99,12,1,6,p2_1,10,7.238,20269.962,14059,38749,
B905,12,1,1,p1_1,11,4.316,19836.367,16967,29750,
B872_cor,12,1,1,p1_1,11,3.928,20990.584,7638,29477,
B580,12,1,1,p1_1,11,1.642,20553.629,17756,36530,contaminated
B586,12,1,1,p1_1,11,3.428,19545.367,12807,38205,contaminated
B872_cor,12,1,1,p1_1,11,2.355,20058.342,17524,31762,
B564,12,1,1,p1_1,11,5.575,20261.787,14237,36762,
B591,12,1,1,p1_1,11,1.903,20042.053,17168,41912,
B997,12,1,1,p1_1,11,1.895,20358.107,16154,31014,
B611,12,1,1,p1_1,11,2.005,21473.089,18903,26950,
XL280a,12,1,1,p1_1,11,4.809,21181.61,16601,38260,
431alpha,12,1,1,p1_1,11,2.996,20181.444,9555,29881,
KN99,12,1,1,p1_1,11,7.384,19807.162,9265,35346,
B996,12,1,2,p1_1,11,3.144,20783.792,17906,31975,
B397,12,1,2,p1_1,11,3.219,20481.209,11126,29739,
B961_cor,12,1,2,p1_1,11,1.957,19925.104,17414,29129,
B357,12,1,2,p1_1,11,1.649,19602.739,17333,28997,
B575,12,1,2,p1_1,11,3.374,19807.186,15617,52373,
