Strain,Replicate,Day,Area,Mean,Min,Max,cleared,plate_coverage,age
41,1,7,0.848,19064.57,18328,26090,1,,
40,2,7,0.369,19250.03,18382,22208,1,,
40,1,7,0.167,20914.804,19267,27677,0,,
43,2,7,2.408,19649.955,17764,29711,0,,
43,1,7,1.571,19335.295,18302,26571,0,,
42,2,7,2.14,18924.49,18048,26295,1,,
42,1,7,1.843,18991.549,18067,27465,1,,
45,2,7,0.722,19692.824,18553,26675,0,,
45,1,7,0.522,22839.758,18115,32610,0,,
44,2,7,0.66,19356.636,18656,25707,1,,
44,1,7,0.641,19346.138,18441,27041,1,,
41,2,8,1.92,34246.145,30794,51605,1,,
41,1,8,1.112,34936.134,31655,54175,1,,
40,2,8,0.4,35155.813,31999,45106,1,,
40,1,8,0.167,38913.092,34126,51577,0,,
43,2,8,3.623,36251.25,35,65535,0,,
43,1,8,2.389,35446.31,31430,51060,0,,
42,2,8,3.347,34577.282,30843,56494,1,,
42,1,8,2.772,34787.462,30796,52939,1,,
45,2,8,0.882,36031.795,31958,52481,0,,
45,1,8,0.603,41916.215,31877,62278,0,,
44,2,8,0.854,35235.851,32218,47554,1,,
44,1,8,0.817,35255.577,30104,52638,1,,
41,2,9,2.8,34380.901,30703,49919,1,,
41,1,9,1.382,35090.577,31398,65535,1,,
40,2,9,0.491,35431.888,31993,46750,0,,
40,1,9,0.163,39120.806,33909,57301,0,,
43,2,9,5.388,35781.119,3,65535,0,,
43,1,9,3.729,35645.203,3,65533,0,,
42,2,9,5.012,34827.511,4,65534,1,,
42,1,9,4.274,35013.396,7,65533,1,,
45,2,9,1.077,36133.037,31496,51558,0,,
45,1,9,0.697,40880.221,32740,62779,0,,
44,2,9,1.169,35325.81,31464,51982,1,,
44,1,9,1.086,35471.34,28274,52998,1,,
41,2,10,3.683,34432.135,12,65535,1,,
41,1,10,1.565,34985.448,3,65530,1,,
40,2,10,0.563,35487.144,55,65510,0,,
40,1,10,0.166,38559.108,87,65449,0,,
43,2,10,6.786,35656.051,22704,65535,0,,
43,1,10,5.221,35923.723,31567,59911,0,,
42,2,10,6.796,34947.332,24231,56944,1,,
42,1,10,5.777,35203.986,26574,60143,1,,
45,2,10,1.332,36130.135,55,65517,0,,
45,1,10,0.644,40997.929,24,65526,0,,
44,2,10,1.47,35301.351,24,65513,1,,
44,1,10,1.303,35443.65,27,65533,1,,
41,2,11,4.731,34653.617,7,65525,1,,
41,1,11,2.002,35235.3,31217,51624,1,,
40,2,11,0.655,35752.963,31795,44929,0,,
40,1,11,0.15,39361.966,34681,51262,0,,
43,2,11,8.073,35726.156,19162,65535,0,,
43,1,11,6.878,35980.53,23410,65535,0,,
42,2,11,8.016,35142.097,21997,54473,1,,
42,1,11,7.288,35541.445,26975,64621,1,,
45,2,11,1.619,36356.222,31734,51600,0,,
45,1,11,0.616,40629.613,31953,62567,0,,
44,2,11,1.893,35493.952,31919,47907,1,,
44,1,11,1.596,35741.639,30885,52897,1,,
41,2,12,5.773,34669.22,27169,65535,1,,
41,1,12,2.568,35555.312,31714,52798,1,,
40,2,12,0.787,35967.419,32007,61012,0,,
40,1,12,0.148,39419.358,33715,53277,0,,
43,2,12,8.39,35873.198,22888,65535,0,,
43,1,12,8.235,36075.631,20776,65535,0,,
42,2,12,8.541,35365.232,3,65533,1,,
42,1,12,8.401,35500.617,4,65535,1,,
45,2,12,1.927,36408.141,30920,65535,0,,
45,1,12,0.749,41214.692,32160,62787,0,,
44,2,12,2.435,35535.433,31688,51472,1,,
44,1,12,1.963,35895.604,28967,52011,1,,
25,2,1,0.164,19264.89,18651,22788,0,,
25,1,1,0.238,19414.365,18559,25708,0,,
24,2,1,0.344,20354.114,219,65486,0,,
24,1,1,0.425,20863.907,99,65517,0,,
27,2,1,0.27,19248.576,18406,20890,0,,
27,1,1,0.387,19891.717,18668,22906,0,,
26,2,1,0.269,19878.469,17935,24059,0,,
26,1,1,0.404,20105.478,18371,23420,0,,
29,2,1,0.302,19964.867,124,65470,0,,
29,1,1,0.414,20422.974,151,65521,0,,
28,2,1,0.159,19430.091,18396,27323,0,,
28,1,1,0.193,19384.049,18521,27577,0,,
25,2,2,0.187,19460.792,18611,23816,0,,
25,1,2,0.298,19636.716,18623,26396,0,,
24,2,2,0.219,19349.786,18321,25107,0,,
24,1,2,0.43,20174.849,18665,25696,0,,
27,2,2,0.277,18911.747,18262,21453,0,,
27,1,2,0.378,19498.666,12913,23018,0,,
26,2,2,0.394,19443.459,17872,26657,1,,
26,1,2,0.266,19222.705,18307,25939,1,,
29,2,2,0.295,18956.958,18420,24623,1,,
29,1,2,0.282,19379.43,18441,27230,0,,
28,2,2,0.178,19221.981,18480,27709,1,,
28,1,2,0.184,19211.408,18530,27784,1,,
25,2,3,0.199,19306.597,18602,22538,1,,
25,1,3,0.3,19465.192,18661,26451,1,,
24,2,3,0.268,19016.109,18152,25227,1,,
24,1,3,0.265,19353.019,18588,27122,1,,
27,2,3,0.277,18784.571,18342,22201,1,,
27,1,3,0.383,19310.536,18301,24498,1,,
26,2,3,0.498,19152.869,17862,25712,1,,
26,1,3,0.418,19120.171,18360,25683,1,,
29,2,3,0.367,18897.377,18367,24070,1,,
29,1,3,0.412,19122.556,18567,26824,1,,
28,2,3,0.274,19206.991,18480,26613,1,,
28,1,3,0.246,19087.51,18583,27318,1,,
25,2,4,0.226,19492.241,18603,24328,1,,
25,1,4,0.324,19492.093,18723,25664,1,,
24,2,4,0.32,19072.859,18118,25959,1,,
24,1,4,0.36,19470.671,18653,26797,1,,
27,2,4,0.291,18990.724,100,65369,1,,
27,1,4,0.396,19293.586,18264,24577,1,,
26,2,4,0.658,19701.372,27,65498,1,,
26,1,4,0.517,19138.803,18349,24510,1,,
29,2,4,0.509,18943.408,18385,24935,1,,
29,1,4,0.536,19172.487,18609,26158,1,,
28,2,4,0.395,19131.387,18327,27015,1,,
28,1,4,0.349,18995.493,18333,27176,1,,
25,2,5,0.252,19528.807,18744,23581,1,,
25,1,5,0.359,19513.82,18739,23863,1,,
24,2,5,0.406,19098.143,18184,25339,1,,
24,1,5,0.458,19460.746,18378,26750,1,,
27,2,5,0.358,19020.181,18266,24459,1,,
27,1,5,0.375,19263.921,18442,24630,1,,
26,2,5,0.915,19216.418,17925,25370,1,,
26,1,5,0.686,19237.348,18380,25071,1,,
29,2,5,0.823,18946.655,18271,24229,1,,
29,1,5,0.693,19159.295,18562,25261,1,,
28,2,5,0.584,19081.232,18395,26830,1,,
28,1,5,0.557,19136.14,18434,27110,1,,
25,2,6,0.334,19652.94,18780,23719,1,,
25,1,6,0.463,19574.125,18828,25545,1,,
24,2,6,0.59,19097.675,18147,25529,1,,
24,1,6,0.563,19480.584,18449,26321,1,,
27,2,6,0.406,19104.085,18336,24448,1,,
27,1,6,0.453,19251.539,15658,24218,1,,
26,2,6,1.572,19333.661,17153,25656,1,,
26,1,6,1.043,19396.936,17718,26315,1,,
29,2,6,1.542,19251.471,24,65505,1,,
29,1,6,1.063,19273.05,18526,26282,1,,
28,2,6,0.994,19576.163,27,65533,1,,
28,1,6,0.969,19812.475,8,65517,1,,
25,2,7,0.451,36100.496,32183,45627,0,,
25,1,7,0.517,35876.037,31985,46325,0,,
24,2,7,0.802,35097.119,30937,47935,0,,
24,1,7,0.694,35576.718,31956,51505,0,,
27,2,7,0.473,34742.304,31928,65535,1,,
27,1,7,0.523,35084.758,31749,48273,0,,
26,2,7,2.453,35258.285,3,65530,0,,
26,1,7,1.642,35592.868,31293,60025,0,,
29,2,7,2.414,34748.675,30519,57755,1,,
29,1,7,1.599,35421.233,31567,54159,1,,
28,2,7,1.647,34761.779,4,65526,1,,
28,1,7,1.571,36128.687,29946,54458,1,,
25,2,8,0.617,36314.433,32827,45190,0,,
25,1,8,0.661,35989.026,32483,51083,0,,
24,2,8,1.141,35083.611,31113,48119,0,,
24,1,8,0.878,35909.854,31685,59064,1,,
27,2,8,0.564,34617.441,31464,65535,0,,
27,1,8,0.584,35010.449,31831,47647,0,,
26,2,8,3.738,35255.916,28001,49315,0,,
26,1,8,2.667,35886.247,25943,55482,1,,
29,2,8,3.604,34740.65,27736,57356,1,,
29,1,8,2.364,35540.576,31335,54185,1,,
28,2,8,2.415,34585.838,30956,54799,1,,
28,1,8,2.427,36362.069,29040,55232,1,,
25,2,9,0.814,36256.894,55,65534,0,,
25,1,9,0.818,36206.342,3,65530,0,,
24,2,9,1.603,35151.846,24,65513,1,,
24,1,9,1.147,36070.327,27,65533,1,,
27,2,9,0.685,34716.257,31684,62368,1,,
27,1,9,0.659,35106.982,31729,47202,1,,
26,2,9,5.291,35413.706,30199,54599,1,,
26,1,9,4.191,36173.458,31031,52934,1,,
29,2,9,5.373,34766.456,4,65534,1,,
29,1,9,3.418,35667.629,7,65525,1,,
28,2,9,3.449,34633.599,7,65534,1,,
28,1,9,3.516,36381.811,3,65533,1,,
25,2,10,NA,NA,NA,NA,NA,,
25,1,10,NA,NA,NA,NA,NA,,
24,2,10,NA,NA,NA,NA,NA,,
24,1,10,NA,NA,NA,NA,NA,,
27,2,10,NA,NA,NA,NA,NA,,
27,1,10,NA,NA,NA,NA,NA,,
26,2,10,NA,NA,NA,NA,NA,,
26,1,10,NA,NA,NA,NA,NA,,
29,2,10,NA,NA,NA,NA,NA,,
29,1,10,NA,NA,NA,NA,NA,,
28,2,10,NA,NA,NA,NA,NA,,
28,1,10,NA,NA,NA,NA,NA,,
25,2,11,1.446,36606.572,32371,44880,0,,
25,1,11,1.196,36638.705,32297,48343,0,,
24,2,11,2.688,35452.782,30197,47969,0,,
24,1,11,1.703,36461.814,31949,48977,0,,
27,2,11,0.934,34801.592,31740,65535,1,,
27,1,11,0.816,35251.878,31638,48993,1,,
26,2,11,7.703,35930.767,12,65534,0,,
26,1,11,7.614,36113.453,3,65535,0,,
29,2,11,8.598,34974.026,20006,61969,0,,
29,1,11,6.222,35893.528,29113,52678,0,,
28,2,11,5.45,35005.906,26937,54517,1,,
28,1,11,6.089,36727.521,27773,57998,1,,
25,2,12,1.835,36788.211,30857,45948,0,,
25,1,12,1.46,36738.319,32432,49078,0,,
24,2,12,3.413,35576.712,24,65533,0,,
24,1,12,2.118,36570.947,760,65457,0,,
27,2,12,1.105,34919.722,31580,59309,1,,
27,1,12,0.923,35362.244,31746,46696,1,,
26,2,12,8.517,35991.165,12586,56976,0,,
26,1,12,8.442,36347.761,16917,65535,0,,
29,2,12,8.689,34764.222,3,65534,0,,
29,1,12,7.697,35678.364,4,65534,0,,
28,2,12,7.13,35321.903,3,65535,1,,
28,1,12,7.4,36755.647,3,65534,1,,
31,2,1,0.29,19391.207,18577,21364,0,,
31,1,1,0.474,19871.972,18453,24252,0,,
30,2,1,0.303,19951.918,18721,21768,0,,
30,1,1,0.522,20228.542,18028,23613,0,,
47,2,1,0.217,20894.944,19074,30215,0,,
47,1,1,0.438,20663.106,18019,24321,0,,
46,2,1,1.086,20358.196,17520,25272,0,,
46,1,1,0.409,20294.872,18368,23430,0,,
39,2,1,0.316,20244.839,18779,22596,0,,
39,1,1,0.508,20474.735,18512,23995,0,,
38,2,1,0.232,19321.809,18348,23333,0,,
38,1,1,0.289,19756.094,18754,25428,0,,
31,2,2,0.299,18752.67,18265,24659,1,,
31,1,2,0.414,19257.87,18143,27214,1,,
30,2,2,0.266,19100.562,18288,26019,1,,
30,1,2,0.488,19759.773,18024,27472,0,,
47,2,2,0.286,20759.792,19033,28393,0,,
47,1,2,0.461,20587.441,18331,26454,0,,
46,2,2,1.014,20252.445,17071,26710,0,,
46,1,2,0.39,19965.308,18250,25939,0,,
39,2,2,0.279,19089.325,17433,26189,1,,
39,1,2,0.351,19945.009,17903,27184,0,,
38,2,2,0.219,18973.403,18071,26893,0,,
38,1,2,0.283,19769.17,18557,26877,1,,
31,2,3,0.369,19321.141,39,65478,1,,
31,1,3,0.538,19546.906,43,65465,1,,
30,2,3,0.329,19024.236,124,65437,1,,
30,1,3,0.498,19110.247,219,65502,1,,
47,2,3,0.163,20323.988,19083,27983,0,,
47,1,3,0.469,20392.395,13001,26973,0,,
46,2,3,1.164,19945.194,16633,28215,0,,
46,1,3,0.304,19629.309,18137,27869,1,,
39,2,3,0.335,19431.372,44,65462,1,,
