"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"133";"33";2;12;7,493;34684,872;13624;65535;1;NA;NA;"10_29_2019"
"134";"33";1;12;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"135";"32";2;12;8,288;33541,289;9903;65535;1;NA;NA;"10_29_2019"
"136";"32";1;12;7,332;34950,859;20475;63092;1;NA;NA;"10_29_2019"
"137";"35";2;12;0,942;34160,091;7;65525;1;NA;NA;"10_29_2019"
"138";"35";1;12;0,979;34687,202;7;65534;1;NA;NA;"10_29_2019"
"139";"34";2;12;2,061;35642,014;3;65533;1;NA;NA;"10_29_2019"
"140";"34";1;12;0,406;37638,428;32584;49357;0;NA;NA;"10_29_2019"
"141";"37";2;12;2,76;35670,738;29388;61444;1;NA;NA;"10_29_2019"
"142";"37";1;12;1,415;35386,452;31850;49233;1;NA;NA;"10_29_2019"
"143";"36";2;12;2,013;34768,146;30854;54298;1;NA;NA;"10_29_2019"
"144";"36";1;12;1,588;36416,802;29240;56120;1;NA;NA;"10_29_2019"
"145";"41";2;1;0,179;18912,39;18292;24803;1;NA;NA;"10_29_2019"
"146";"41";1;1;0,352;19919,212;18267;27198;0;NA;NA;"10_29_2019"
"147";"40";2;1;0,211;19355,386;18505;21966;0;NA;NA;"10_29_2019"
"148";"40";1;1;0,139;20508,169;19184;29435;0;NA;NA;"10_29_2019"
"149";"43";2;1;0,239;20108,408;18632;23374;0;NA;NA;"10_29_2019"
"150";"43";1;1;0,468;20231,034;18400;23639;0;NA;NA;"10_29_2019"
"151";"42";2;1;0,223;19368,623;18543;21800;0;NA;NA;"10_29_2019"
"152";"42";1;1;0,289;19624,839;18419;23569;0;NA;NA;"10_29_2019"
"153";"45";2;1;0,479;20670,125;18677;23784;0;NA;NA;"10_29_2019"
"154";"45";1;1;0,187;21701,142;18578;30425;0;NA;NA;"10_29_2019"
"155";"44";2;1;0,261;19506,033;18454;25488;0;NA;NA;"10_29_2019"
"156";"44";1;1;0,238;19545,132;18629;24342;0;NA;NA;"10_29_2019"
"157";"41";2;2;0,185;18815,757;18330;27332;1;NA;NA;"10_29_2019"
"158";"41";1;2;0,37;19680,411;18336;27735;1;NA;NA;"10_29_2019"
"159";"40";2;2;0,213;19160,294;18494;21895;0;NA;NA;"10_29_2019"
"160";"40";1;2;0,133;20451,331;19176;26400;0;NA;NA;"10_29_2019"
"161";"43";2;2;0,246;19052,534;18144;25865;1;NA;NA;"10_29_2019"
"162";"43";1;2;0,261;19348,368;18300;27390;1;NA;NA;"10_29_2019"
"163";"42";2;2;0,212;18782,505;18231;23568;1;NA;NA;"10_29_2019"
"164";"42";1;2;0,266;19023,299;18241;27695;1;NA;NA;"10_29_2019"
"165";"45";2;2;0,475;20371,813;18620;26001;0;NA;NA;"10_29_2019"
"166";"45";1;2;0,179;21803,154;18840;29999;0;NA;NA;"10_29_2019"
"167";"44";2;2;0,263;19270,463;18469;26727;1;NA;NA;"10_29_2019"
"168";"44";1;2;0,253;19385,598;18620;24991;1;NA;NA;"10_29_2019"
"169";"41";2;3;0,249;18791,586;18311;25735;1;NA;NA;"10_29_2019"
"170";"41";1;3;0,379;19066,339;18298;27020;1;NA;NA;"10_29_2019"
"171";"40";2;3;0,249;19210,865;18562;22123;1;NA;NA;"10_29_2019"
"172";"40";1;3;0,158;20623,507;19246;28505;0;NA;NA;"10_29_2019"
"173";"43";2;3;0,308;18858,909;17482;29396;1;NA;NA;"10_29_2019"
"174";"43";1;3;0,463;18990,493;18280;26367;1;NA;NA;"10_29_2019"
"175";"42";2;3;0,28;18734,806;18248;26119;1;NA;NA;"10_29_2019"
"176";"42";1;3;0,428;18840,438;18309;26975;1;NA;NA;"10_29_2019"
"177";"45";2;3;0,252;19574,684;18568;27180;0;NA;NA;"10_29_2019"
"178";"45";1;3;0,194;21916,368;18821;30591;0;NA;NA;"10_29_2019"
"179";"44";2;3;0,261;19250,818;18410;25687;1;NA;NA;"10_29_2019"
"180";"44";1;3;0,268;19308,546;18638;24887;1;NA;NA;"10_29_2019"
"181";"41";2;4;0,349;18779,399;18273;25672;1;NA;NA;"10_29_2019"
"182";"41";1;4;0,499;18956,338;18288;25807;1;NA;NA;"10_29_2019"
"183";"40";2;4;0,263;19265,169;18494;21665;1;NA;NA;"10_29_2019"
"184";"40";1;4;0,165;20732,662;19269;28322;0;NA;NA;"10_29_2019"
"185";"43";2;4;0,45;18991,983;17721;29192;1;NA;NA;"10_29_2019"
"186";"43";1;4;0,583;19032,508;18359;25530;1;NA;NA;"10_29_2019"
"187";"42";2;4;0,403;18727,79;18225;26703;1;NA;NA;"10_29_2019"
"188";"42";1;4;0,566;18822,568;18249;26465;1;NA;NA;"10_29_2019"
"189";"45";2;4;0,361;19709,132;18596;26557;1;NA;NA;"10_29_2019"
"190";"45";1;4;0,25;22032,333;18732;30534;0;NA;NA;"10_29_2019"
"191";"44";2;4;0,316;19364,197;18436;27352;1;NA;NA;"10_29_2019"
"192";"44";1;4;0,321;19358,232;18681;25856;1;NA;NA;"10_29_2019"
"193";"41";2;5;0,529;19668,122;4;65526;1;NA;NA;"10_29_2019"
"194";"41";1;5;0,577;19701,686;3;65530;1;NA;NA;"10_29_2019"
"195";"40";2;5;0,271;19515,665;195;65393;1;NA;NA;"10_29_2019"
"196";"40";1;5;0,146;20846,602;19440;27577;0;NA;NA;"10_29_2019"
"197";"43";2;5;0,776;19172,012;17879;29135;1;NA;NA;"10_29_2019"
"198";"43";1;5;0,733;19099,976;18319;26062;1;NA;NA;"10_29_2019"
"199";"42";2;5;0,715;18758,973;18048;26348;1;NA;NA;"10_29_2019"
"200";"42";1;5;0,764;18862,736;18257;26790;1;NA;NA;"10_29_2019"
"201";"45";2;5;0,502;20538,334;40;65534;0;NA;NA;"10_29_2019"
"202";"45";1;5;0,323;23014,308;3;65534;0;NA;NA;"10_29_2019"
"203";"44";2;5;0,385;19547,218;147;65529;1;NA;NA;"10_29_2019"
"204";"44";1;5;0,394;19732,409;4;65521;1;NA;NA;"10_29_2019"
"205";"41";2;6;0,875;18880,231;18196;26482;1;NA;NA;"10_29_2019"
"206";"41";1;6;0,726;19010,511;18380;26242;1;NA;NA;"10_29_2019"
"207";"40";2;6;0,305;19198,777;18488;22528;0;NA;NA;"10_29_2019"
