Strain,Replicate,Stack,passage,plate,Area.1,Area.12
B960_cor,3,3,9,2_3-1_3_secondhalf,1.2451587999999998,13.2709412
B961,2,5,4,2_2-1_2_firsthalf,1.6645128,3.2645096
B961,3,3,7,2_3-1_3_firsthalf,1.7483836000000004,13.3354572
B961_cor,1,2,11,p1_1,3.3935416000000003,9.2322396
B961_cor,2,2,4,2_2-1_2_firsthalf,3.0128972000000003,8.361273599999999
B961_cor,3,1,7,2_3-1_3_firsthalf,3.154832399999999,7.380630400000002
B996,1,2,11,p1_1,3.0128972000000003,17.270933199999998
B996,2,4,4,2_2-1_2_firsthalf,3.9548308000000003,7.954822800000002
B996,3,2,9,2_3-1_3_secondhalf,1.5612872,0.8967724000000002
B997,1,1,11,p1_1,6.1225684000000005,6.1032136
B997,2,4,4,2_2-1_2_firsthalf,1.1225784,4.5096684
B997,3,3,9,2_3-1_3_secondhalf,3.6516055999999995,4.3483784
B998,1,5,11,p1_1,0.6838695999999999,14.212874800000002
B998,2,5,4,2_2-1_2_firsthalf,5.16128,6.116116800000001
B998,3,2,7,2_3-1_3_firsthalf,0.8774176,17.645125999999998
C001,1,5,11,p1_1,3.9806372,9.038691599999996
C001,2,4,5,2_2-1_2_secondhalf,3.5483800000000003,6.8322443999999996
C001,3,4,7,2_3-1_3_firsthalf,0.6322568000000001,12.470942799999998
C026,1,2,10,p2_1,1.1548364,10.045141200000002
C026,2,2,5,2_2-1_2_secondhalf,0.6903212000000001,20.4064108
C026_cor,1,5,11,p1_1,0.5290312000000001,20.451572000000002
C026_cor,3,1,7,2_3-1_3_firsthalf,1.0580624,4.974183600000002
C029,1,1,10,p2_1,0.8774176,23.999951999999997
C029_cor,2,2,5,2_2-1_2_secondhalf,3.1419291999999994,16.838675999999996
C029_cor,3,4,9,2_3-1_3_secondhalf,0.7354824,0.9806432000000003
C030,1,5,10,p2_1,0.5548375999999999,16.6838376
C031,1,1,10,p2_1,0.193548,9.380626399999999
C031,2,5,5,2_2-1_2_secondhalf,3.4645091999999997,17.6709324
C031_cor,1,1,10,p2_1,1.4580616,23.9805972
C031_cor,2,2,5,2_2-1_2_secondhalf,0.9935464000000002,38.703148399999996
C031_cor,3,4,9,2_3-1_3_secondhalf,2.1677375999999997,19.741896
C033,1,3,10,p2_1,1.0193528000000003,11.948363199999998
C033,2,1,5,2_2-1_2_secondhalf,0.66451479999999985,24.077371199999995
C033,3,2,7,2_3-1_3_firsthalf,1.4064488000000004,25.9612384
C036,1,3,10,p2_1,1.1806428000000004,47.9482912
C036,2,6,5,2_2-1_2_secondhalf,3.5806380000000004,5.6064403999999985
C036,3,4,9,2_3-1_3_secondhalf,2.0128992,15.206421200000003
C039,1,3,10,p2_1,1.3677392,54.812793600000006
C039,2,3,5,2_2-1_2_secondhalf,0.9548368,35.50960640000001
C059,3,3,9,2_3-1_3_secondhalf,1.6967708,19.8322184
C090,2,1,4,2_2-1_2_firsthalf,0.7354824,14.645132
C242,1,1,10,p2_1,3.4322512000000005,12.838683999999999
C242,2,3,4,2_2-1_2_firsthalf,3.9935403999999997,5.8774076000000015
C271,1,3,10,p2_1,1.29032,16.1225484
C271,2,3,5,2_2-1_2_secondhalf,4.445152399999999,2.883865199999999
C271,3,1,7,2_3-1_3_firsthalf,1.1806428000000004,25.541884399999997
C272,1,1,10,p2_1,6.1225684000000005,3.199993600000001
C272,2,6,5,2_2-1_2_secondhalf,1.4967712000000002,3.9225728
C272,3,3,7,2_3-1_3_firsthalf,1.1677396,12.019330800000002
C290,1,5,10,p2_1,3.9225728,9.767722399999998
C290,2,1,4,2_2-1_2_firsthalf,1.2064492000000002,12.077395200000002
C290,3,4,7,2_3-1_3_firsthalf,1.4129004,9.303207199999997
C291,1,2,10,p2_1,1.0129012,28.103169600000008
C291,2,5,5,2_2-1_2_secondhalf,1.1483847999999999,40.5934672
C291,3,3,9,2_3-1_3_secondhalf,1.3483843999999998,13.941907599999999
C366,1,5,11,p1_1,3.5483800000000003,22.090278400000003
