Strain,Replicate,Day,Area,Mean,Min,Max,,stack_position,stack,stack_size,group,run,issues,passage
154,3,12,1.12,18901.198,17177,27070,,3,1,12,p4,1,,12
176,1,12,2.211,19046.569,16841,40894,,4,1,12,p4,1,,12
176,2,12,1.391,19247.828,17591,27765,,5,1,12,p4,1,,12
176,3,12,1.692,18922.056,16389,27347,,6,1,12,p4,1,,12
185,1,12,0.778,20102.424,17603,27830,,7,1,12,p4,1,,12
185,2,12,0.817,20669.687,17870,26540,,8,1,12,p4,1,,12
185,3,12,0.938,19910.319,17360,25813,,9,1,12,p4,1,,12
174,1,12,1.427,19319.742,17184,26783,,10,1,12,p4,1,,12
174,2,12,3.657,19195.802,15692,28962,,11,1,12,p4,1,,12
174,3,12,2.195,19391.094,16927,28094,,12,1,12,p4,1,,12
196,1,12,7.158,19201.651,15775,35097,,1,2,12,p4,1,,12
196,2,12,2.335,19132.593,17094,28884,,2,2,12,p4,1,,12
196,3,12,6.769,18887.12,15283,31565,,3,2,12,p4,1,,12
188,1,12,5.952,19103.656,15462,38008,,4,2,12,p4,1,,12
188,2,12,2.339,20353.898,16793,29144,,5,2,12,p4,1,,12
188,3,12,4.447,19615.911,16925,28490,,6,2,12,p4,1,,12
155,1,12,,,,,,7,2,12,p4,1,yes,12
155,2,12,0.639,21170.991,16804,29110,,8,2,12,p4,1,,12
155,3,12,0.918,19537.355,16970,26830,,9,2,12,p4,1,,12
168,1,12,4.317,18881.335,16652,33362,,10,2,12,p4,1,,12
168,2,12,2.478,18914.193,16340,29693,,11,2,12,p4,1,,12
168,3,12,5.088,18828.789,14905,29309,,12,2,12,p4,1,,12
180,1,12,0.697,19913.692,17740,26354,,1,3,12,p4,1,,12
180,2,12,1.016,19481.929,17079,25962,,2,3,12,p4,1,,12
180,3,12,0.927,19408.757,17034,32333,,3,3,12,p4,1,,12
190,1,12,5.322,18870.6,16389,41242,,4,3,12,p4,1,,12
190,2,12,2.282,18812.821,16921,28830,,5,3,12,p4,1,,12
190,3,12,5.994,18680.257,14069,28978,,6,3,12,p4,1,,12
157,1,12,1.702,19074.464,17341,29256,,7,3,12,p4,1,,12
157,2,12,5.179,18743.451,16640,38865,,8,3,12,p4,1,,12
157,3,12,3.596,19030.159,16835,29471,,9,3,12,p4,1,,12
171,1,12,3.433,19089.563,16725,27787,,10,3,12,p4,1,,12
171,2,12,1.999,19149.912,17391,28106,,11,3,12,p4,1,,12
171,3,12,4.586,19070.701,15445,28760,,12,3,12,p4,1,,12
181,1,12,0.723,19947.397,17740,27119,,1,4,12,p4,1,,12
181,2,12,1.003,19475.043,17079,25962,,2,4,12,p4,1,,12
181,3,12,0.921,19393.806,17034,32333,,3,4,12,p4,1,,12
162,1,12,5.255,18853.292,16252,41242,,4,4,12,p4,1,,12
162,2,12,2.279,18810.926,16921,28830,,5,4,12,p4,1,,12
162,3,12,5.992,18667.218,14069,28978,,6,4,12,p4,1,,12
Bt22,1,12,1.699,19075.884,17341,29256,,7,4,12,p4,1,,12
Bt22,2,12,5.297,18815.942,16640,38865,,8,4,12,p4,1,,12
Bt22,3,12,3.564,19019.616,16908,28373,,9,4,12,p4,1,,12
KN99,1,12,3.444,19092.148,16725,27540,,10,4,12,p4,1,,12
KN99,2,12,2.019,19164.733,17391,28106,,11,4,12,p4,1,,12
KN99,3,12,4.545,19057.163,15445,28760,,12,4,12,p4,1,,12
194,1,12,1.899,18939.364,17049,28761,,1,5,12,p4,1,,12
194,2,12,5.748,18648.044,16035,35077,,2,5,12,p4,1,,12
194,3,12,1.745,18945.555,16760,28202,,3,5,12,p4,1,,12
201,1,12,0.874,19876.663,17923,25502,,4,5,12,p4,1,,12
201,2,12,1.043,19590.415,17376,27067,,5,5,12,p4,1,,12
201,3,12,0.948,19672.742,17338,26037,,6,5,12,p4,1,,12
187,1,12,1.068,19523.639,17459,27432,,7,5,12,p4,1,,12
187,2,12,2.227,19636.634,17251,35824,,8,5,12,p4,1,,12
187,3,12,1.148,19215.352,16805,27153,,9,5,12,p4,1,,12
158,1,12,3.592,19319.342,16215,29316,,10,5,12,p4,1,,12
158,2,12,1.28,20818.341,16888,28301,,11,5,12,p4,1,,12
158,3,12,1.913,20363.874,17079,30372,,12,5,12,p4,1,,12
204,1,12,1.593,20586.826,16729,29162,,1,6,12,p4,1,,12
204,2,12,4.986,19772.283,16092,27662,,2,6,12,p4,1,,12
204,3,12,2.436,19375.115,17109,28268,,3,6,12,p4,1,,12
173,1,12,0.817,20540.445,18143,34599,,4,6,12,p4,1,,12
173,2,12,0.831,20374.613,17632,27265,,5,6,12,p4,1,,12
173,3,12,0.714,20285.876,17410,27184,,6,6,12,p4,1,,12
197,1,12,0.971,19413.742,17424,29820,,7,6,12,p4,1,,12
197,2,12,1.03,19383.285,17665,26862,,8,6,12,p4,1,,12
197,3,12,1.049,19388.099,17311,26922,,9,6,12,p4,1,,12
193,1,12,1.273,18772.134,17033,27275,,10,6,12,p4,1,,12
193,2,12,1.419,18883.413,16369,28535,,11,6,12,p4,1,,12
193,3,12,2.771,18580.872,16527,28741,,12,6,12,p4,1,,12
189,1,12,2.906,18850.651,14939,27944,,1,7,12,p4,1,,12
189,2,12,6.86,18833.504,12045,29542,,2,7,12,p4,1,,12
189,3,12,3.997,18848.771,16698,32490,,3,7,12,p4,1,,12
167,1,12,5.146,19116.907,16738,36766,,4,7,12,p4,1,,12
167,2,12,2.668,19141.553,17128,27943,,5,7,12,p4,1,,12
167,3,12,5.291,19274.444,15405,33426,,6,7,12,p4,1,,12
166,1,12,2.078,19066.118,16762,33950,,7,7,12,p4,1,,12
166,2,12,5.598,18790.678,15875,39573,,8,7,12,p4,1,,12
166,3,12,2.649,18629.332,16575,28762,,9,7,12,p4,1,,12
172,1,12,0.736,19886.246,17345,25335,,10,7,12,p4,1,,12
172,2,12,0.765,19897.187,16661,34623,,11,7,12,p4,1,,12
172,3,12,0.695,20007.366,17227,24025,,12,7,12,p4,1,,12
Ftc555,1,12,0.841,19536.599,17164,26781,,1,8,3,p4,1,,12
Ftc555,2,12,1.212,19386.744,17497,31987,,2,8,3,p4,1,,12
Ftc555,3,12,1.084,19695.517,17549,27332,,3,8,3,p4,1,,12
195,1,12,2.159,20172.035,17049,55204,,1,1,12,p4,2,,5
195,2,12,4.396,19609.345,16974,32517,,2,1,12,p4,2,,5
195,3,12,2.236,20069.572,17312,30080,,3,1,12,p4,2,,5
Bt22,1,12,3.298,19736.261,17733,40519,,4,1,12,p4,2,,5
Bt22,2,12,7.632,19444.612,13799,63415,,5,1,12,p4,2,,5
Bt22,3,12,3.702,19533.93,17593,28138,,6,1,12,p4,2,,5
KN99,1,12,3.492,20050.664,17560,38077,,7,1,12,p4,2,,5
KN99,2,12,2.388,19673.746,16516,48392,,8,1,12,p4,2,,5
KN99,3,12,4.104,19662.183,16750,29355,,9,1,12,p4,2,,5
Ftc555,1,12,1.25,20202.381,14243,28371,,10,1,12,p4,2,,5
Ftc555,2,12,1.757,20063.555,17326,30283,,11,1,12,p4,2,,5
Ftc555,3,12,1.477,20227.243,16031,26732,,12,1,12,p4,2,,5
198,1,12,7.563,19606.133,13694,54804,,1,2,12,p4,2,,5
198,2,12,4.118,20027.214,17599,29489,,2,2,12,p4,2,,5
198,3,12,8.46,19710.594,12079,32226,,3,2,12,p4,2,,5
175,1,12,3.124,19502.854,17107,36948,,4,2,12,p4,2,,5
175,2,12,7.314,19103.19,15796,65535,,5,2,12,p4,2,,5
175,3,12,3.687,19607.167,17598,33341,,6,2,12,p4,2,,5
161,1,12,3.216,19475.447,17467,29437,,7,2,12,p4,2,,5
161,2,12,2.299,19516.639,16872,37085,,8,2,12,p4,2,,5
161,3,12,3.943,19618.417,17294,28369,,9,2,12,p4,2,,5
191,1,12,1.284,20262.924,13336,27431,,10,2,12,p4,2,,5
191,2,12,2.218,19994.278,17538,31120,,11,2,12,p4,2,,5
191,3,12,1.4,19996.91,17435,27807,,12,2,12,p4,2,,5
199,1,12,6.82,19224.379,12779,55966,,1,3,12,p4,2,,5
199,2,12,4.348,19602.498,15818,29225,,2,3,12,p4,2,,5
199,3,12,7.909,19329.609,13970,30059,,3,3,12,p4,2,,5
170,1,12,4.862,19366.561,16845,40180,,4,3,12,p4,2,,5
170,2,12,8.368,19238.206,10649,65535,,5,3,12,p4,2,,5
170,3,12,4.417,19426.355,16341,34052,,6,3,12,p4,2,,5
178,1,12,8.075,19321.572,14186,43425,,7,3,12,p4,2,,5
178,2,12,3.557,19466.553,16614,30590,,8,3,12,p4,2,,5
178,3,12,8.108,19126.998,11697,44327,,9,3,12,p4,2,,5
202,1,12,1.002,19389.315,14656,24557,,10,3,12,p4,2,,5
202,2,12,0.985,19534.432,17584,30825,,11,3,12,p4,2,,5
202,3,12,1.051,19183.817,17204,24816,,12,3,12,p4,2,,5
182,1,12,7.831,19650.367,10766,55454,,1,4,12,p4,2,,5
182,2,12,4.867,19840.808,16689,29161,,2,4,12,p4,2,,5
182,3,12,8.444,19611.374,12458,34151,,3,4,12,p4,2,,5
160,1,12,1.082,19873.458,17859,29196,,4,4,12,p4,2,,5
160,2,12,0.88,20171.681,17990,25583,,5,4,12,p4,2,,5
160,3,12,1.182,20038.398,17955,34471,,6,4,12,p4,2,,5
159,1,12,1.494,19861.142,16986,34607,,7,4,12,p4,2,,5
159,2,12,1.694,19553.863,15880,29059,,8,4,12,p4,2,,5
159,3,12,1.47,19621.518,17562,28513,,9,4,12,p4,2,,5
192,1,12,8.437,19318.716,7068,41616,,10,4,12,p4,2,,5
192,2,12,3.432,19728.527,17211,29955,,11,4,12,p4,2,,5
192,3,12,8.264,19428.409,10266,39756,,12,4,12,p4,2,,5
169,1,12,4.426,19999.768,15256,55559,,1,5,12,p4,2,,5
169,2,12,8.515,19843.412,10947,35366,,2,5,12,p4,2,,5
169,3,12,4.196,20050.616,16049,31616,,3,5,12,p4,2,,5
163,1,12,5.49,20056.845,14478,39473,,4,5,12,p4,2,,5
163,2,12,8.429,19772.368,12812,65535,,5,5,12,p4,2,,5
163,3,12,4.769,19960.486,16004,34637,,6,5,12,p4,2,,5
164,1,12,1.922,20621.603,17581,31485,,7,5,12,p4,2,,5
164,2,12,1.219,20519.57,17122,27581,,8,5,12,p4,2,,5
164,3,12,2.082,20466.282,17480,28778,,9,5,12,p4,2,,5
200,1,12,3.121,19594.74,14554,28451,,10,5,12,p4,2,,5
200,2,12,7.74,19298.104,11864,32760,,11,5,12,p4,2,,5
200,3,12,2.865,19603.592,15830,30179,,12,5,12,p4,2,,5
203,1,12,6.835,19661.755,15624,55431,,1,6,12,p4,2,,5
203,2,12,4.906,20026.171,14846,28097,,2,6,12,p4,2,,5
203,3,12,8.457,20038.79,10022,33490,,3,6,12,p4,2,,5
186,1,12,5.696,19374.922,16144,37520,,4,6,12,p4,2,,5
186,2,12,8.42,18949.135,13678,65535,,5,6,12,p4,2,,5
186,3,12,5.917,19207.88,13079,37961,,6,6,12,p4,2,,5
177,1,12,8.131,20612.276,14957,38957,,7,6,12,p4,2,,5
177,2,12,3.052,19787.123,16366,31159,,8,6,12,p4,2,,5
177,3,12,7.86,19747.754,10569,44267,,9,6,12,p4,2,,5
179,1,12,1.32,19810.34,17167,26644,,10,6,12,p4,2,,5
179,2,12,1.035,20034.104,17472,32487,,11,6,12,p4,2,,5
179,3,12,1.378,20170.968,15565,28597,,12,6,12,p4,2,,5
183,1,12,3.845,20253.543,17704,34569,,1,7,12,p4,2,,5
183,2,12,5.574,19704.805,17381,28255,,2,7,12,p4,2,,5
183,3,12,3.298,20120.926,17853,38410,,3,7,12,p4,2,,5
184,1,12,1.259,20237.514,17587,37922,,4,7,12,p4,2,,5
184,2,12,1.499,20012.629,17626,28404,,5,7,12,p4,2,,5
184,3,12,1.237,20249.267,17570,33165,,6,7,12,p4,2,,5
165,1,12,3.394,19378.451,17520,29869,,7,7,12,p4,2,,5
165,2,12,1.564,19219.652,16686,28587,,8,7,12,p4,2,,5
165,3,12,3.338,19049.26,16697,29024,,9,7,12,p4,2,,5
156,1,12,8.286,19538.028,9007,37224,,10,7,12,p4,2,,5
156,2,12,4.076,19676.75,16972,31165,,11,7,12,p4,2,,5
156,3,12,8.277,18969.48,7819,37174,,12,7,12,p4,2,,5
222,1,12,4.561,19292.849,16442,39932,,1,1,12,p5,1,,10
222,2,12,7.558,19026.234,9672,33645,,2,1,12,p5,1,,10
222,3,12,4.737,19440.823,17180,29896,,3,1,12,p5,1,,10
254,1,12,1.74,19207.037,17163,36497,,4,1,12,p5,1,,10
254,2,12,7.528,19364.566,13909,59435,,5,1,12,p5,1,,10
254,3,12,1.902,19118.983,16943,35480,,6,1,12,p5,1,,10
223,1,12,7.329,19255.685,15427,34220,,7,1,12,p5,1,,10
223,2,12,1.533,18953.505,17217,36359,,8,1,12,p5,1,,10
223,3,12,8.226,19126.545,9727,33035,,9,1,12,p5,1,,10
228,1,12,1.958,19234.144,16923,26814,,10,1,12,p5,1,,10
228,2,12,7.174,19650.944,11824,32617,,11,1,12,p5,1,,10
228,3,12,4.744,19325.038,10180,29164,,12,1,12,p5,1,,10
243,1,12,0.959,19721.245,17655,27030,,1,2,12,p5,1,,10
243,2,12,,,,,,2,2,12,p5,1,,10
243,3,12,0.996,19998.808,17663,27571,,3,2,12,p5,1,,10
240,1,12,2.422,20089.07,12678,38977,,4,2,12,p5,1,,10
240,2,12,1.504,19991.838,16095,28369,,5,2,12,p5,1,,10
240,3,12,2.942,19883.272,17632,31889,,6,2,12,p5,1,,10
242,1,12,0.737,19584.672,17762,33000,,7,2,12,p5,1,,10
242,2,12,1.084,20030.789,17841,26089,,8,2,12,p5,1,,10
242,3,12,0.942,19477.882,17351,29040,,9,2,12,p5,1,,10
248,1,12,8.1,19594.977,7535,38105,,10,2,12,p5,1,,10
248,2,12,2.123,19490.285,16729,31805,,11,2,12,p5,1,,10
248,3,12,8.304,19510.554,6380,38846,,12,2,12,p5,1,,10
226,1,12,7.861,19556.573,7530,34292,,1,3,12,p5,1,,10
226,2,12,6.01,19210.045,14377,38461,,2,3,12,p5,1,,10
226,3,12,8.166,19489.774,13791,35121,,3,3,12,p5,1,,10
210,1,12,1.442,19305.802,17317,40072,,4,3,12,p5,1,,10
210,2,12,2.166,19343.427,15833,26450,,5,3,12,p5,1,,10
210,3,12,1.484,19477.096,17224,27239,,6,3,12,p5,1,,10
237,1,12,2.142,19724.379,17445,31633,,7,3,12,p5,1,,10
237,2,12,4.088,19778.186,17168,35783,,8,3,12,p5,1,,10
237,3,12,4.327,19585.586,16265,35564,,9,3,12,p5,1,,10
209,1,12,2.377,19583.359,17109,27356,,10,3,12,p5,1,,10
209,2,12,7.133,19565.835,15930,32338,,11,3,12,p5,1,,10
209,3,12,3.106,19448.536,16894,30651,,12,3,12,p5,1,,10
220,1,12,7.348,18769.036,15682,30026,,1,4,12,p5,1,,10
220,2,12,7.336,18751.662,13541,34431,,2,4,12,p5,1,,10
220,3,12,2.722,18573.621,16557,28142,,3,4,12,p5,1,,10
229,1,12,1.261,19429.55,17565,34386,,4,4,12,p5,1,,10
229,2,12,1.587,19220.183,15988,29307,,5,4,12,p5,1,,10
229,3,12,1.127,19276.088,17465,27141,,6,4,12,p5,1,,10
219,1,12,7.849,18974.156,14497,34992,,7,4,12,p5,1,,10
219,2,12,5.452,18679.6,15164,44689,,8,4,12,p5,1,,10
219,3,12,7.929,18924.909,5726,39794,,9,4,12,p5,1,,10
239,1,12,1.2,18959.204,16870,29079,,10,4,12,p5,1,,10
239,2,12,1.473,18397.342,16192,30572,,11,4,12,p5,1,,10
239,3,12,1.65,19036.857,17136,29938,,12,4,12,p5,1,,10
252,1,12,2.453,19231.688,17046,27171,,1,5,12,p5,1,,10
252,2,12,1.234,19616.781,17943,37260,,2,5,12,p5,1,,10
252,3,12,2.377,19425.234,17613,27472,,3,5,12,p5,1,,10
246,1,12,1.105,19312.897,17604,38637,,4,5,12,p5,1,,10
246,2,12,1.845,19406.729,15541,27152,,5,5,12,p5,1,,10
246,3,12,1.03,19405.833,17229,27173,,6,5,12,p5,1,,10
208,1,12,7.437,19363.4,15375,34671,,7,5,12,p5,1,,10
208,2,12,2.192,19091.932,17327,35258,,8,5,12,p5,1,,10
208,3,12,7.725,18962.681,6982,37258,,9,5,12,p5,1,,10
247,1,12,2.213,19843.081,10106,28917,,10,5,12,p5,1,,10
247,2,12,8.352,20088.822,9933,37434,,11,5,12,p5,1,,10
247,3,12,3.61,20081.014,15792,31122,,12,5,12,p5,1,,10
215,1,12,7.47,19257.604,11341,39806,,1,6,12,p5,1,,10
215,2,12,2.464,19396.231,16997,39304,,2,6,12,p5,1,,10
215,3,12,7.506,19436.077,12883,29467,,3,6,12,p5,1,,10
250,1,12,1.799,19488.193,17436,38861,,4,6,12,p5,1,,10
250,2,12,5.724,19697.979,15861,31274,,5,6,12,p5,1,,10
250,3,12,2.325,19677.625,17601,27705,,6,6,12,p5,1,yes,10
207,1,12,0.879,20129.216,18108,30396,,7,6,12,p5,1,,10
207,2,12,1.106,20159.453,16146,27883,,8,6,12,p5,1,,10
207,3,12,1.103,20154.46,16146,26895,,9,6,12,p5,1,,10
206,1,12,7.286,19422.498,11462,35622,,10,6,12,p5,1,,10
206,2,12,4.12,19290.244,13632,31718,,11,6,12,p5,1,,10
206,3,12,8.193,19118.039,9633,39839,,12,6,12,p5,1,,10
Ftc555,1,12,1.193,20322.446,18001,25394,,1,7,12,p5,1,,10
Ftc555,2,12,1.004,21878.101,18991,30715,,2,7,12,p5,1,,10
Ftc555,3,12,0.848,20556.509,17247,28288,,3,7,12,p5,1,,10
KN99,1,12,2.329,19971.512,15719,39848,,4,7,12,p5,1,,10
KN99,2,12,4.135,20548.386,17904,30035,,5,7,12,p5,1,,10
KN99,3,12,2.238,20992.832,18148,28958,,6,7,12,p5,1,,10
Bt22,1,12,7.776,18723.598,11342,35137,,7,7,12,p5,1,,10
Bt22,2,12,7.131,19108.821,13741,37995,,8,7,12,p5,1,,10
Bt22,3,12,5.881,19197.003,15405,36558,,9,7,12,p5,1,,10
217,1,12,0.9,20430.824,17369,30033,,10,7,12,p5,1,,10
217,2,12,0.876,18999.558,16651,29142,,11,7,12,p5,1,yes,10
217,3,12,1.139,20015.364,16940,30612,,12,7,12,p5,1,yes,10
253,3,12,1.187,19760.903,17676,29365,,1,1,12,p5,2,,11
253,2,12,1.025,18766.52,16239,32651,,2,1,12,p5,2,,11
253,1,12,1.447,19349.966,16939,27762,,3,1,12,p5,2,,11
218,3,12,6.042,18877.096,8153,38475,,4,1,12,p5,2,,11
218,2,12,3.713,23221.089,19044,36130,,5,1,12,p5,2,,11
218,1,12,7.294,18627.746,13377,33495,,6,1,12,p5,2,,11
221,3,12,4.827,18913.178,13715,32019,,7,1,12,p5,2,,11
221,2,12,8.005,18974.483,10209,39150,,8,1,12,p5,2,,11
221,1,12,2.72,18806.465,16202,28721,,9,1,12,p5,2,,11
227,3,12,1.543,19405.396,16889,28451,,10,1,12,p5,2,,11
227,2,12,1.048,19675.805,17261,28848,,11,1,12,p5,2,,11
227,1,12,0.768,19313.871,17202,27645,,12,1,12,p5,2,,11
216,3,12,1.981,20023.414,17471,31301,,1,2,12,p5,2,,11
216,2,12,2.049,19791.159,17240,27685,,2,2,12,p5,2,,11
216,1,12,3.078,18859.044,16347,27092,,3,2,12,p5,2,,11
232,3,12,1.218,19232.393,17243,39655,,4,2,12,p5,2,,11
232,2,12,1.578,18617.842,16190,25597,,5,2,12,p5,2,,11
232,1,12,1.277,18873.505,17101,28202,,6,2,12,p5,2,,11
238,3,12,8.42,19424.551,13495,32187,,7,2,12,p5,2,,11
238,2,12,4.76,19390.642,17305,34969,,8,2,12,p5,2,,11
238,1,12,8.542,19397.641,4333,34524,,9,2,12,p5,2,yes,11
244,3,12,3.165,19189.415,14659,28517,,10,2,12,p5,2,,11
244,2,12,8.371,18996.912,11778,30632,,11,2,12,p5,2,,11
244,1,12,4.029,19047.465,14561,31137,,12,2,12,p5,2,,11
233,3,12,3.369,18844.504,16587,32976,,1,3,12,p5,2,,11
233,2,12,1.895,19032.566,17328,28000,,2,3,12,p5,2,,11
233,1,12,6.344,18605.768,14641,28552,,3,3,12,p5,2,,11
235,3,12,1.049,19872.635,17264,39901,,4,3,12,p5,2,,11
235,2,12,1.184,19545.499,17577,26234,,5,3,12,p5,2,,11
235,1,12,1.033,19397.266,17253,27577,,6,3,12,p5,2,,11
225,3,12,2.608,19059.955,16864,32282,,7,3,12,p5,2,,11
225,2,12,1.744,18967.882,16296,34702,,8,3,12,p5,2,,11
225,1,12,1.231,19035.328,16660,26248,,9,3,12,p5,2,,11
235?,3,12,8.414,18781.52,12047,31503,,10,3,12,p5,2,,11
235?,2,12,4.383,18804.621,15920,29426,,11,3,12,p5,2,,11
235?,1,12,7.898,18766.485,8841,38545,,12,3,12,p5,2,,11
224,3,12,1.555,19036.458,17214,30671,,1,4,12,p5,2,,11
224,2,12,1.773,19155.625,17250,27605,,2,4,12,p5,2,,11
224,1,12,2.428,18798.722,14056,26302,,3,4,12,p5,2,,11
251,3,12,0.794,19488.198,17833,35331,,4,4,12,p5,2,,11
251,2,12,1.166,18695.617,16983,28836,,5,4,12,p5,2,,11
251,1,12,1.096,18378.658,16574,26747,,6,4,12,p5,2,,11
214,3,12,1.289,19385.973,17578,29150,,7,4,12,p5,2,,11
214,2,12,0.994,19367.917,16944,26566,,8,4,12,p5,2,,11
214,1,12,1.12,19139.566,16926,27781,,9,4,12,p5,2,,11
231,3,12,7.79,18901.932,7024,35864,,10,4,12,p5,2,,11
231,2,12,4.837,18810.876,14721,30549,,11,4,12,p5,2,,11
231,1,12,7.957,18760.752,7518,34598,,12,4,12,p5,2,,11
234,3,12,3.838,19302.491,16183,37008,,1,5,12,p5,2,yes,11
234,2,12,7.195,18906.083,14847,37820,,2,5,12,p5,2,,11
234,1,12,3.776,19145.2,15803,30924,,3,5,12,p5,2,,11
212,3,12,1.775,18994.919,17160,38090,,4,5,12,p5,2,,11
212,2,12,1.291,18855.831,17208,25566,,5,5,12,p5,2,,11
212,1,12,2.042,19214.846,17251,28277,,6,5,12,p5,2,,11
211,3,12,5.375,18810.118,14833,33048,,7,5,12,p5,2,,11
211,2,12,6.634,18635.958,15143,35577,,8,5,12,p5,2,,11
211,1,12,4.647,18417.335,14500,28453,,9,5,12,p5,2,,11
205,3,12,2.373,19316.198,17114,28305,,10,5,12,p5,2,,11
205,2,12,8,19236.697,8716,32558,,11,5,12,p5,2,yes,11
205,1,12,8.569,18442.145,9914,36031,,12,5,12,p5,2,,11
213,3,12,1.378,20345.589,17257,30659,,1,6,12,p5,2,,11
213,2,12,3.241,19124.59,15722,33169,,2,6,12,p5,2,,11
213,1,12,2.271,19063.933,15622,28667,,3,6,12,p5,2,,11
236,3,12,0.791,19161.797,17410,38988,,4,6,12,p5,2,,11
236,2,12,1.183,19879.693,17614,29587,,5,6,12,p5,2,,11
236,1,12,0.74,19493.224,17877,26565,,6,6,12,p5,2,,11
249,3,12,7.253,19405.912,7692,31962,,7,6,12,p5,2,,11
249,2,12,5.625,18944.626,12698,38053,,8,6,12,p5,2,,11
249,1,12,8.278,19136.39,9562,32348,,9,6,12,p5,2,,11
245,3,12,3.238,19256.82,16831,28586,,10,6,12,p5,2,,11
245,2,12,7.499,18685.706,8619,29515,,11,6,12,p5,2,,11
245,1,12,2.163,19080.227,17105,29810,,12,6,12,p5,2,,11
Ftc555,3,12,1.046,20005.568,17163,31317,,1,7,12,p5,2,,11
Ftc555,2,12,1.053,19270.75,17446,31370,,2,7,12,p5,2,,11
Ftc555,1,12,0.94,19314.95,14793,27848,,3,7,12,p5,2,,11
KN99,3,12,3.906,19118.43,15535,39499,,4,7,12,p5,2,,11
KN99,2,12,1.867,19208.726,17317,27938,,5,7,12,p5,2,,11
KN99,1,12,2.669,19053.766,17240,27901,,6,7,12,p5,2,,11
Bt22,3,12,3.586,19021.12,16125,33856,,7,7,12,p5,2,,11
Bt22,2,12,5.341,18828.823,15770,36914,,8,7,12,p5,2,,11
Bt22,1,12,2.849,18714.051,16625,28551,,9,7,12,p5,2,,11
241,3,12,3.091,18842.671,16230,28803,,10,7,12,p5,2,,11
241,2,12,6.038,18748.114,15075,30119,,11,7,12,p5,2,,11
241,1,12,3.022,19033.948,16523,29963,,12,7,12,p5,2,,11
294,3,12,8.028,20027.96,7647,44448,,1,1,12,p6,1,,8
294,2,12,4.145,19792.816,14932,28473,,2,1,12,p6,1,,8
294,1,12,7.961,20324.688,12872,29608,,3,1,12,p6,1,,8
283,3,12,3.368,19477.376,16297,36814,,4,1,12,p6,1,,8
283,2,12,8.384,19263.81,13308,60402,,5,1,12,p6,1,,8
283,1,12,2.9,19289.21,16366,28784,,6,1,12,p6,1,,8
292,3,12,8.282,19701.758,13537,37993,,7,1,12,p6,1,,8
292,2,12,8.709,19621.699,6773,43384,,8,1,12,p6,1,,8
292,1,12,5.11,19610.591,16077,29172,,9,1,12,p6,1,,8
279,3,12,5.442,19252.519,15640,31216,,10,1,12,p6,1,,8
279,2,12,2.518,20109.099,16840,28780,,11,1,12,p6,1,,8
279,1,12,7.949,18659.054,12819,33184,,12,1,12,p6,1,,8
293,3,12,2.186,17346.186,12518,28403,,1,2,12,p6,1,,8
293,2,12,1.897,17269.968,15335,28251,,2,2,12,p6,1,,8
293,1,12,2.446,17834.856,15585,28541,,3,2,12,p6,1,,8
305,3,12,6.464,17933.671,8609,38441,,4,2,12,p6,1,,8
305,2,12,7.722,17614.457,11893,63909,,5,2,12,p6,1,,8
305,1,12,6.286,17608.692,14313,29032,,6,2,12,p6,1,,8
280,3,12,1.609,17294.552,13486,32844,,7,2,12,p6,1,,8
280,2,12,1.59,17509.377,15719,28289,,8,2,12,p6,1,,8
280,1,12,2.051,17497.941,15007,28833,,9,2,12,p6,1,,8
268,3,12,1.309,17649.541,15627,27959,,10,2,12,p6,1,,8
268,2,12,1.557,19290.64,17097,26205,,11,2,12,p6,1,,8
268,1,12,1.328,19584.62,17449,28637,,12,2,12,p6,1,,8
266,3,12,0.949,20765.476,18122,24494,,1,3,12,p6,1,,8
266,2,12,0.745,20941.7,17819,28240,,2,3,12,p6,1,,8
266,1,12,1.155,20359.623,18025,25761,,3,3,12,p6,1,,8
278,3,12,0.839,20622.106,17781,27127,,4,3,12,p6,1,,8
278,2,12,1.49,20406.978,17776,25538,,5,3,12,p6,1,,8
278,1,12,1.013,20377.844,18000,26881,,6,3,12,p6,1,,8
302,3,12,1.197,19817.186,16926,30530,,7,3,12,p6,1,,8
302,2,12,0.843,20063.328,18006,26693,,8,3,12,p6,1,,8
302,1,12,1.249,19781.08,17352,25678,,9,3,12,p6,1,,8
285,3,12,1.284,19105.648,16995,27317,,10,3,12,p6,1,,8
285,2,12,2.128,19089.41,16880,27476,,11,3,12,p6,1,,8
285,1,12,1.418,19412.941,17355,31214,,12,3,12,p6,1,,8
288,3,12,1.307,20046.48,17086,25478,,1,4,12,p6,1,,8
288,2,12,1.112,20115.412,17533,25896,,2,4,12,p6,1,,8
288,1,12,1.227,20672.413,18088,25326,,3,4,12,p6,1,,8
298,3,12,6.06,19059.511,15480,40850,,4,4,12,p6,1,,8
298,2,12,8.305,19563.429,14248,65535,,5,4,12,p6,1,,8
298,1,12,3.714,18970.709,16818,34219,,6,4,12,p6,1,,8
299,3,12,2.167,19436.554,17460,31365,,7,4,12,p6,1,,8
299,2,12,1.324,19155.489,17419,35782,,8,4,12,p6,1,,8
299,1,12,1.912,19196.092,17320,28680,,9,4,12,p6,1,,8
287,3,12,4.516,19283.244,16623,29053,,10,4,12,p6,1,,8
287,2,12,8.505,19243.053,10413,34638,,11,4,12,p6,1,,8
